2018-09-16 21:21:25,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',carol allen#OUTNOW  #freetommy,lorac22allen,south west wiltshire,168,0
2018-09-16 21:15:17,b'RT @rfif_inc: 11)\n#Tax #Exemption #Receipts will be #Mailed to You for #Calendar year #2018 after January  #2019 to #File your #Taxes.\nPlea\xe2\x80\xa6',Lord of Heaven Earth,lordheavenearth,"West Palm Beach, Florida USA",4,0
2018-09-16 21:13:46,b'11)\n#Tax #Exemption #Receipts will be #Mailed to You for #Calendar year #2018 after January  #2019 to #File your\xe2\x80\xa6 https://t.co/kupDKTQYr4',"RFIF,  Inc.",rfif_inc,"West Palm Beach, FL",4,1
2018-09-16 21:11:26,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',beaman,beaman_,"England, United Kingdom",168,0
2018-09-16 21:09:35,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Templar ❌,Moi26884077,,168,0
2018-09-16 21:04:03,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Kev Pollard,Shado69Zulu,,168,0
2018-09-16 21:02:13,b'RT @TommyRo89943568: Based Amy - Attack Update - Tommy Robinson - CASH REWARD https://t.co/iqc0GUwbU4 @realbasedamy @ActivePatriots @Active\xe2\x80\xa6',Show me the Tao,show_tao,,27,0
2018-09-16 20:57:31,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Neil Pepler,NeilIanPepler,,168,0
2018-09-16 20:43:52,"b""YAY! I've just entered @_iblobl's fun-packed #giveaway to win a #NAME Ibbleobble Character mug! #WeLoveTea! #contest https://t.co/i5QPncHye1""",JD Caldwell,jdcaldwe11,,0,1
2018-09-16 20:40:11,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',David Dixon,DavedixonAkk,"North East, England",168,0
2018-09-16 20:37:01,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Das #NoDeal,DashMillion,,168,0
2018-09-16 20:35:57,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',CrazyDingo,CrazyDingo1,,168,0
2018-09-16 20:30:47,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',toby tortoise,tobytortoise1,"Hull, England",168,0
2018-09-16 20:30:01,b'Ginned The Pesky Elongation #band #name #bandname #generated #computergenerated',Band Name Generator,band_name_gen,"Rockville, MD",0,0
2018-09-16 20:28:57,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',ᏢᎪᏴz❌ᏚᎬ1🏴󠁧󠁢󠁥󠁮󠁧󠁿1312🇬🇧❌,pabz1312,SELondon 🏴󠁧󠁢󠁥󠁮󠁧󠁿,168,0
2018-09-16 20:27:21,b'RT @CompassDomains: Popular First Names &amp; Surnames for sale http://bit.ly2mBiQAm @namepros  #namepros #firstname #name #xyz #surname #domai\xe2\x80\xa6',DomainBookers.net,DomainBookers,"Ajman, United Arab Emirates",3,0
2018-09-16 20:26:29,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',Gavin AUsten,gav_john80,,168,0
2018-09-16 20:26:21,b'@Nasty_CSA What the #Name!?',THE BOURGEOISNOIR,THEBOURGEOISNR,Mali,0,0
2018-09-16 20:17:10,b'RT @TommyRo89943568: Based Amy - Tommy Robinson - CASH REWARD @realbasedamy @ActivePatriots @ActivePatriots @DAYFORFREEDOM4 @trotman_deirdr\xe2\x80\xa6',James MacDwyer,jasdyer,United States,168,0
